no,ELE,SLP,TMP,PPT,AREA,LON,LAT,Cluster
AR_0000031,3087.71,6.59,5.65,437.38,2753,-69.33,-34.67,4
AT_0000002,704.06,1.46,7.96,838.34,267.6,14.96,48.76,12
AT_0000003,2347.58,10.27,3.43,1408.09,80.7,12.25,47.23,6
AT_0000005,1615.82,7.93,7.85,1570.32,65.5,13.158333,47.591389,6
AT_0000007,1246.39,8.16,6.61,1342.94,107.4,12.698333,47.585556,6
AT_0000010,622.51,1.28,9.54,1231.28,23.5,13.42,48.13,12
AT_0000012,1542.74,5.11,3.74,1322.84,150.8,12.736389,47.366111,6
AT_0000015,1455.14,4.92,3.95,1389.23,53.4,13.02,47.34,9
AT_0000017,1161.66,4.04,6.42,1491.23,171.7,13.39,47.57,9
AT_0000026,1577.86,7.78,3.43,1292.02,134.5,12.14,47.42,6
AT_0000029,1945.69,7.03,4.39,1147.18,61.5,11.46,47.12,6
AT_0000032,1268.67,6.22,4.3,1271.16,147.4,12.4031,47.52,6
AT_0000035,1081.15,3.83,7.07,1214.78,727.7,15.473,47.526,9
AT_0000040,1316.32,4.79,6.97,1457.67,130.3,14.55,46.94,6
AT_0000041,765.38,2.79,7.98,1199.91,432.3,14.36,46.71,10
AT_0000048,2060,7.57,4.92,1704.97,85.3,13.17,46.98,6
AT_0000050,1181.69,4.18,8.67,1852.93,44,14.28,46.49,10
AT_0000052,1321.99,5.98,5.73,1403.51,265.6,14.91,47.39,6
AT_0000053,1172.5,5.05,6.29,1214.71,167.3,15.05,47.38,6
AT_0000054,1180.34,4.09,6.75,1304.46,229.4,15.594,47.657,9
AT_0000057,1828.43,4.66,4.37,1729.81,102.1,13.684,47.134,9
AT_0000060,267.59,1.2,10.31,654.09,383.7,16.638889,47.852222,12
AT_0000061,857.12,2.93,8.72,1084.22,268.5,16,47.38,10
AT_0000063,841.16,2.89,7.71,1077.67,84.2,15.51,47.25,10
AT_0000066,661.24,2.07,8.42,981.95,498.9,15.76,47.04,10
AT_0000071,721.07,2.06,6.46,991.57,51.5,15.11,47.94,10
AT_0000074,460.29,2.62,8.93,810.67,37.6,15.33,48.12,10
AT_0000076,836.06,4.36,6.46,1142.92,42.2,15.38,47.95,10
AT_0000082,683.99,2.5,8.15,857.87,284.1,16.18,47.86,10
AT_0000084,1152.59,5.24,7.03,1250.15,80,15.73,47.77,6
AT_0000087,921.43,2.68,8.43,1077.67,96.5,16.1,47.58,10
AT_0000092,925.9,5.18,7.97,1099.48,114.4,16.09,47.59,6
AT_0000097,740.91,2.72,7.85,1383.68,109,13.337778,47.832222,10
AT_0000100,832.45,4.01,7.45,1349.53,445,13.92,48.05,10
AT_0000102,447.53,1.33,8.08,1003.24,363.5,14.27,48.2,12
AT_0000104,1207.08,5.73,6.68,1301.11,251.4,14.746667,47.605278,6
AT_0000106,848.44,3.63,7.04,1112.82,168.6,14.45,47.89,10
AT_0000108,1195.78,6.73,6.99,1410.91,40.2,14.33,47.67,6
AT_0000121,702.79,1.42,8.86,1053.54,227.4,14.138889,48.366111,12
AT_0000137,408.21,0.88,8.72,848.22,190.1,15.9436,47.0828,12
AT_0000138,1102.06,2.67,6.46,1283.8,280,15.3056,47.7417,10
AT_0000139,1142.38,5.25,6.64,1284.33,5915.4,14.4267,48.0394,6
AT_0000140,1420.49,5.69,4.28,1495.98,134.5,13.4258,47.3828,6
AT_0000144,823.28,2.51,7.81,1023.75,95970,15.4622,48.3833,10
AT_0000157,2817.13,6.95,2.51,1018.42,72.5,11.0197,46.865,4
AT_0000164,2596.42,5.45,3.79,1628.26,74.5,12.805,47.047,4
AT_0000170,1064.99,3.8,6.88,1301.89,9480,15.636,46.711,10
AT_0000173,1256.91,4.69,6.58,1320.59,6791.5,15.319,47.164,9
AT_0000174,1296.05,4.81,6.58,1320.59,6214,15.283,47.411,6
AT_0000176,1745.68,5.44,4.39,1709.42,377.9,13.804,47.135,6
AT_0000178,1787.37,5.68,4.4,1767.34,77.1,13.705,47.177,6
AU_0000026,358.9159886,2.909157827,25.68397502,2093.658462,243.5202712,145.208518,-15.687795,3
AU_0000029,694.7470296,4.28206,24.53888908,3022.312821,19.26184417,145.349914,-16.42729,3
AU_0000030,364.2003677,4.4342,24.53888908,2435.694872,18.24074451,145.337975,-16.390311,3
AU_0000037,945.8224487,4.12717,22.876069,2350.194872,17.96538599,145.5981667,-17.13433333,11
AU_0000038,813.0815348,1.209838033,22.41410285,1776.34359,51.21610889,145.54825,-17.22863889,11
AU_0000039,728.7190145,0.577885,22.876069,2206.441026,20.40101051,145.5768611,-17.26313889,3
AU_0000040,652.2157062,1.255363589,22.86678505,1759.636733,1260.971934,145.4431389,-16.84172222,11
AU_0000083,76.41063377,1.319126791,24.08824754,1100.804487,160.4782343,146.7025667,-19.31789167,2
AU_0000127,342.4971743,3.885700886,21.8891942,1584.835385,347.0155474,148.7435527,-21.178275,10
AU_0000140,166.0543821,1.082866762,21.88531739,699.8892552,498.2744163,150.3436111,-23.48352778,5
AU_0000166,318.3585182,0.870917678,21.66816257,728.0788462,63.79179879,150.37232,-23.6574,5
AU_0000191,593.9810937,2.455821153,19.86423096,597.0965385,380.529054,148.38813,-24.97753,11
AU_0000193,135.4215141,0.888134837,11.96474371,1254.828974,65.33097331,144.6880538,-41.12975785,12
AU_0000209,331.3691156,0.700455266,20.40785457,708.2791206,30672.32379,151.9894613,-25.28507017,5
AU_0000210,197.4741588,1.321765326,20.89647293,800.2589286,692.3395964,151.9881369,-25.38092052,5
AU_0000212,245.2067359,1.433344955,21.30256413,793.8144231,155.3707496,151.7974253,-25.23432856,5
AU_0000221,313.3366738,0.642139318,20.92751112,699.1424385,430.8188076,151.2737715,-25.21434014,5
AU_0000226,462.4729055,0.863841259,18.37603784,743.5034493,1367.161417,152.0575293,-26.47004314,5
AU_0000233,391.6949436,0.597359783,19.55785795,661.8983158,5244.735005,151.3328367,-25.78592226,5
AU_0000253,436.3938163,0.45601,19.05192326,1482.84359,19.45703519,152.8730414,-26.759133,5
AU_0000256,277.8535156,1.45238,19.05192326,1481.991026,28.84689938,152.9040222,-26.58957031,5
AU_0000296,459.09011,1.004442306,18.37490043,756.4484615,963.4806915,152.1376028,-26.73946389,5
AU_0000307,398.3234905,2.033381082,18.27165203,758.7275458,377.7089471,152.1145,-27.54228,5
AU_0000311,322.718422,1.718544163,18.33524068,769.5584592,2531.969177,152.517,-27.4536,5
AU_0000315,271.4700414,2.000735172,18.05213669,807.7918803,460.2516549,152.3889972,-27.55316389,5
AU_0000317,405.8975439,2.019871246,18.0258121,725.3196581,165.4613184,152.1327,-27.6047,5
AU_0000323,99.00175476,1.03902,20.54850466,1460.653846,18.7540939,153.4891667,-27.535,5
AU_0000345,154.2259019,1.75149,18.92670988,1555.455128,37.88408894,153.35,-28.08527778,5
AU_0000377,465.0937503,3.032304928,11.19561005,749.4015929,522.4719044,147.729896,-41.78741719,10
AU_0000420,341.4452473,2.46247105,18.5306017,1236.161139,896.0190541,152.9962,-28.6206,11
AU_0000446,739.703206,1.500753988,16.78127272,1447.871067,1692.138596,152.6866,-29.923,11
AU_0000469,1087.472107,1.055910105,13.96506407,767.8009615,93.3155166,151.67005,-30.51,8
AU_0000472,1327.256458,0.50846752,13.75085486,930.6527778,119.6320682,151.7261,-30.2112,8
AU_0000473,1144.805196,1.623989344,13.75085491,787.5384615,44.00954263,151.6156,-30.4645,8
AU_0000480,322.4064325,2.099892592,17.08688027,1454.234564,234.2604587,152.5942,-31.4224,5
AU_0000544,166.3686142,0.349575,17.68931638,673.4128205,9.020131925,151.0004,-32.3872,5
AU_0000547,451.3585866,2.190325346,16.68636762,755.2601026,238.3927338,150.7846,-32.0113,5
AU_0000549,258.1630441,1.571149698,16.76410237,798.085641,256.7953327,151.0491,-32.4849,5
AU_0000551,453.8258541,1.723491831,16.4647844,765.9746492,14300.22049,151.0488,-32.531,5
AU_0000553,260.3847071,1.571151078,16.76410237,815.9221368,253.7732491,151.0586,-32.4702,5
AU_0000554,429.1608654,1.676336603,16.39317351,778.4256281,16183.22665,151.1375,-32.5595,5
AU_0000555,243.2567107,1.193920304,17.40495158,897.1440335,1066.002291,151.064905,-32.840398,5
