no,ELE,SLP,TMP,PPT,AREA
AR_0000031,3087.71,6.59,5.65,437.38,2753
AT_0000002,704.06,1.46,7.96,838.34,267.6
AT_0000003,2347.58,10.27,3.43,1408.09,80.7
AT_0000005,1615.82,7.93,7.85,1570.32,65.5
AT_0000007,1246.39,8.16,6.61,1342.94,107.4
AT_0000010,622.51,1.28,9.54,1231.28,23.5
AT_0000012,1542.74,5.11,3.74,1322.84,150.8
AT_0000015,1455.14,4.92,3.95,1389.23,53.4
AT_0000017,1161.66,4.04,6.42,1491.23,171.7
AT_0000026,1577.86,7.78,3.43,1292.02,134.5
AT_0000029,1945.69,7.03,4.39,1147.18,61.5
AT_0000032,1268.67,6.22,4.3,1271.16,147.4
AT_0000035,1081.15,3.83,7.07,1214.78,727.7
AT_0000040,1316.32,4.79,6.97,1457.67,130.3
AT_0000041,765.38,2.79,7.98,1199.91,432.3
AT_0000048,2060,7.57,4.92,1704.97,85.3
AT_0000050,1181.69,4.18,8.67,1852.93,44
AT_0000052,1321.99,5.98,5.73,1403.51,265.6
AT_0000053,1172.5,5.05,6.29,1214.71,167.3
AT_0000054,1180.34,4.09,6.75,1304.46,229.4
AT_0000057,1828.43,4.66,4.37,1729.81,102.1
AT_0000060,267.59,1.2,10.31,654.09,383.7
AT_0000061,857.12,2.93,8.72,1084.22,268.5
AT_0000063,841.16,2.89,7.71,1077.67,84.2
AT_0000066,661.24,2.07,8.42,981.95,498.9
AT_0000071,721.07,2.06,6.46,991.57,51.5
AT_0000074,460.29,2.62,8.93,810.67,37.6
AT_0000076,836.06,4.36,6.46,1142.92,42.2
AT_0000082,683.99,2.5,8.15,857.87,284.1
AT_0000084,1152.59,5.24,7.03,1250.15,80
AT_0000087,921.43,2.68,8.43,1077.67,96.5
AT_0000092,925.9,5.18,7.97,1099.48,114.4
AT_0000097,740.91,2.72,7.85,1383.68,109
AT_0000100,832.45,4.01,7.45,1349.53,445
AT_0000102,447.53,1.33,8.08,1003.24,363.5
AT_0000104,1207.08,5.73,6.68,1301.11,251.4
AT_0000106,848.44,3.63,7.04,1112.82,168.6
AT_0000108,1195.78,6.73,6.99,1410.91,40.2
AT_0000121,702.79,1.42,8.86,1053.54,227.4
AT_0000137,408.21,0.88,8.72,848.22,190.1
AT_0000138,1102.06,2.67,6.46,1283.8,280
AT_0000139,1142.38,5.25,6.64,1284.33,5915.4
AT_0000140,1420.49,5.69,4.28,1495.98,134.5
AT_0000144,823.28,2.51,7.81,1023.75,95970
AT_0000157,2817.13,6.95,2.51,1018.42,72.5
AT_0000164,2596.42,5.45,3.79,1628.26,74.5
AT_0000170,1064.99,3.8,6.88,1301.89,9480
AT_0000173,1256.91,4.69,6.58,1320.59,6791.5
