no,date,R,PPT,PET,TMP,AET,LON,LAT,AREA,ELE,SLP,RIVER,CLAY,SAND,SILT,CTI,SW,SPEED,LAI,SRAD,CO2,n,Cluster
AR_0000031,1989,463.59,464.33,809.35,6.021913624,295.6403381,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,27.52322998,5.374811649,0.216054108,192.469928,209.1786652,1.00303149,4.0
AR_0000031,1990,417.77,465.4,809.22,6.021913624,290.1599487,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,25.93805504,5.443586349,0.214929108,192.7233612,210.06091,0.973153036,4.0
AR_0000031,1991,387.3,463.5,807.38,6.021913624,291.4463501,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,25.56443825,5.490748405,0.211905048,193.2967102,210.9373047,0.984585571,4.0
AR_0000031,1992,358.26,406.7,806.97,6.021913624,298.4907227,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,26.54972763,5.473297596,0.211425705,193.1965546,213.534671,1.186614101,4.0
AR_0000031,1993,334.26,467.87,806.75,6.021913624,323.754776,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,28.28731499,5.501832485,0.210384332,192.2397797,221.2934875,1.158476075,4.0
AR_0000031,1994,354.08,471.59,805.19,6.021913624,336.0221008,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,29.51860008,5.507044792,0.209966611,191.596463,227.9117004,1.230819355,4.0
AR_0000031,1995,377.1,468.62,809.04,6.021913624,335.7337341,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,29.69507065,5.511544228,0.2093172,192.8183899,235.1456299,1.234845697,4.0
AR_0000031,1996,368.49,422.17,810.49,6.021913624,325.5905945,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,27.85552826,5.393712044,0.211452115,194.409613,247.4576843,1.341447275,4.0
AR_0000031,1997,330.94,469.9,811.33,6.021913624,322.9045227,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,27.23631783,5.494202137,0.211619778,193.3900726,257.5633759,1.143263185,4.0
AR_0000031,1998,326.24,415.74,806.14,6.021913624,303.6644531,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,26.19990158,5.281095028,0.21341561,192.6573212,268.8661652,1.19193654,4.0
AR_0000031,1999,290.5,442.71,792.34,6.021913624,302.2135986,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,25.4293026,5.354912758,0.213761969,191.3697083,277.9448578,1.105905409,4.0
AR_0000031,2000,277.74,487.7,786.28,6.021913624,307.9586975,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,27.15346947,5.477374554,0.214859561,190.8492981,284.4241333,1.035618593,4.0
AR_0000031,2001,319.48,540.23,783.0,6.021913624,320.6077271,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,28.93413429,5.39895153,0.214850583,188.9068115,279.4435516,1.004339793,4.0
AR_0000031,2002,365.88,508.42,782.76,6.021913624,313.5654358,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,29.2028923,5.514828205,0.214600583,189.8441895,270.1003845,1.026333183,4.0
AR_0000031,2003,400.59,520.86,799.54,6.021913624,318.2339966,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,29.30374756,5.480563641,0.212524231,190.9726868,255.2059296,1.013544629,4.0
AR_0000031,2004,420.41,499.89,804.39,6.021913624,323.2943298,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,29.19141579,5.358360767,0.21092793,190.3226196,246.1252167,1.077094897,4.0
AR_0000031,2005,441.25,519.77,808.46,6.021913624,326.212561,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,28.67954712,5.451034546,0.208404691,189.3064453,238.4472717,1.048046831,4.0
AR_0000031,2006,474.36,494.31,818.39,6.021913624,316.6548401,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,28.07627335,5.47276926,0.207751935,190.0117737,237.1346588,1.0428312,4.0
AR_0000031,2007,462.33,446.79,811.87,6.021913624,312.043335,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,26.7956089,5.44566679,0.206005103,190.168161,245.1690063,1.140672261,4.0
AR_0000031,2008,434.88,488.71,797.8,6.021913624,317.5604614,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,27.6361969,5.313798904,0.207128876,188.2417725,259.0272064,1.075966788,4.0
AR_0000031,2009,435.18,473.79,814.89,6.021913624,304.4513672,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,27.53638268,5.483697891,0.206679053,190.9117249,267.0304169,1.025075622,4.0
AR_0000031,2010,419.03,399.3,819.44,6.021913624,286.9339172,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,26.48596382,5.453392982,0.203492139,191.9106842,276.225061,1.118881802,4.0
AR_0000031,2011,340.68,374.26,813.6,6.021913624,287.4570557,-69.3313,-34.6771,2764.426,3087.711903,6.58930989,23.05821195,15.52816391,56.88541794,27.14126587,1.32799551,25.97107277,5.419163704,0.200599707,191.9268677,285.3935303,1.232008009,4.0
