no,ELE,SLP,TMP,PPT,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_0,376.1755619,1.489434191,23.226529,12.03671631,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_1,448.0160577,0.858701971,25.43819472,15.42219634,11678.5,2.294098705,23.98006002,34.89710845,23.05955283,16.96798134,44.98903656,24.83191109,2
element_2,312.1622234,1.051298159,25.85682082,20.57049955,5524.6,2.514229354,25.98437085,35.53684866,22.58435363,15.06359673,49.51315689,22.03965187,2
element_3,572.7844339,0.955473585,26.47372216,44.14044504,42400.5,2.359352463,24.4364034,35.8623547,20.89939346,17.98388863,42.54518127,32.82097626,2
element_4,350.567052,1.557384354,26.78929652,49.07671757,16198.5,1.941738034,26.46500496,36.75469289,21.20205621,16.08748436,42.25989914,25.67303658,2
element_5,743.0586467,1.443686619,27.16789334,72.55309937,4584,1.897270554,22.47805561,36.65963634,19.47101711,17.73682022,39.81420135,29.94835663,2
element_6,396.0245847,1.35135935,28.30353928,86.00907367,11221.8,2.389442043,28.4348757,37.17482061,18.9176428,17.0222187,35.58032227,31.01292801,2
element_7,752.0612023,1.956887995,27.11103513,236.3196062,63986.6,2.333009832,25.56847696,37.52534159,16.59242067,22.91837502,36.58120728,35.21127701,2
element_8,555.6802354,2.318860807,26.59670145,328.336406,35181.7,2.339593231,24.19128786,38.913156,16.50088279,20.56384659,34.6568718,30.77789497,2
element_9,515.5343167,1.269715161,27.17601424,253.9288575,62992.8,2.089204686,27.65172343,43.09641739,11.53243521,17.95123863,44.14717102,27.5507431,2
element_10,618.2338447,1.760769287,26.08560068,156.194209,5340.3,2.219939379,28.39953722,45.72908938,10.18749528,18.65638542,43.40259552,34.72375488,2
element_11,303.0680793,2.205512191,27.86307154,84.82034862,3028.6,1.720702087,23.60487724,45.8699245,10.60440586,11.62653065,53.79693985,21.85905266,2
element_12,777.3452117,1.627755634,25.87639848,121.3000642,4797.4,2.220467966,25.9031817,46.4701165,10.13023979,19.01070786,40.00699234,35.66819382,2
element_13,129.6107997,2.405717772,28.35462903,50.9107906,477.4,1.368644206,17.59831047,46.44687768,10.6528123,7.483333111,46.67777634,11.84313679,2
element_14,737.4537731,2.372020634,25.36884088,131.5870073,4169.8,1.811833419,25.94567655,46.80761908,10.2956587,19.73453903,39.10756683,36.87076569,2
element_15,666.8089553,3.734154013,25.58436355,99.28599132,14366.9,1.629991449,23.89716931,48.38495378,11.00489979,18.84147072,36.35878754,35.93857574,2
element_16,666.7509336,1.898553134,25.86480684,61.46370216,4781.1,1.862379,27.60627854,50.28503447,11.31000328,20.1961441,35.29853821,36.96407318,2
element_17,407.7743165,1.554671555,26.73545285,60.4259299,11102.3,1.793266291,23.68341103,50.7636854,11.23829706,18.36429977,33.98176193,35.38053513,2
element_18,714.0949812,0.84809813,25.49070725,89.73549852,28620.5,2.769534791,28.04260414,49.49290506,10.44863621,20.71251297,35.17386627,40.0140419,2
element_19,345.2281729,0.592004359,27.41979707,79.2641819,7037.8,2.34094055,22.42233825,50.51688342,9.782439925,19.7389698,34.56158066,38.10391235,2
element_20,931.9464619,0.385250032,25.20611592,110.4949143,26077.6,3.145548146,27.55529224,48.72660185,9.857038782,21.28927994,35.34896851,40.90406036,2
