no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_115,2015,295.5871578,2.639758809,232.0712782,1552.366443,2048.194981,15.25273678,3.258982461,2349.869929,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2016,295.6773049,2.689433891,237.1566197,1369.476607,2113.847262,15.03091773,3.221651217,2190.985375,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2017,295.6931256,2.749857065,235.5175816,1480.423831,2114.756531,14.73193901,3.157825891,3372.149031,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2018,295.6749204,2.672687544,234.716356,1472.103903,2119.798453,15.08505631,3.240483866,3026.18282,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2019,295.7021641,2.671064437,235.3257941,1591.844169,2108.948511,15.22409464,3.186769085,3345.904913,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2020,295.6736244,2.643728061,231.2163987,1739.232296,2085.413888,15.27699397,3.252873294,2862.880184,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2021,295.7926317,2.656969724,234.4122697,1493.979486,2116.270361,15.19709868,3.327827809,3392.528935,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2022,295.7172274,2.646157451,232.0667984,1636.094246,2099.269298,15.06810029,3.210095878,2891.120806,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2023,295.9998114,2.700652752,235.9771367,1397.819406,2152.756786,15.12959922,3.227332681,2734.353799,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2024,295.8823355,2.648835177,233.0962748,1645.430979,2104.656932,15.14791767,3.192342673,1841.263062,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2025,295.8326416,2.680693933,235.7292376,1521.943643,2099.994583,15.2067337,3.315019801,3333.809653,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2026,295.8360455,2.704282265,234.1172375,1533.006009,2086.395829,14.91451496,3.291777107,2868.599383,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2027,295.8842313,2.693694898,235.1326333,1513.810196,2072.550168,15.10339184,3.274860254,3912.044002,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2028,295.8624181,2.650791079,229.6059072,1708.807903,2067.586703,15.44756912,3.456040115,2575.718287,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2029,296.0382295,2.673925175,231.4021423,1626.993278,2132.114665,15.25358674,3.388413462,3262.100767,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2030,295.8478293,2.708174928,230.0176459,1686.590167,2133.091673,15.11799359,3.29943429,2385.998962,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2031,295.9812797,2.647315807,230.1704166,1754.200578,2125.134066,15.46041457,3.397105014,3309.86471,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2032,296.089013,2.71539778,229.7103349,1596.309769,2132.970384,15.20856058,3.481173975,2170.659149,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2033,296.1643308,2.645435245,232.8523509,1596.297807,2176.895092,15.30815687,3.377514291,3083.667136,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2034,296.0504207,2.615638765,229.7670886,1653.582225,2165.105022,15.62306419,3.315180484,2311.865843,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2035,296.1776858,2.646642321,234.7465088,1477.374595,2160.797198,15.23032092,3.327980925,3020.264029,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2036,296.4545897,2.638922282,234.9166561,1557.914772,2196.741059,15.10735734,3.302725268,2076.181701,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2037,296.5106201,2.641211039,237.3892314,1525.53825,2187.322744,15.12332786,3.194421162,2817.941472,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2038,296.5165921,2.650190914,235.1048631,1447.645334,2192.217188,15.0555431,3.20817947,2061.909163,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2039,296.5302519,2.668544641,235.583246,1519.825729,2237.767422,15.00436841,3.224705793,2953.282295,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2040,296.5310025,2.738455391,235.3304733,1536.928459,2208.048993,15.09710127,3.373150491,2107.983877,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2041,296.5001646,2.676576444,233.604262,1577.503386,2182.762293,15.07142783,3.258023622,2881.511785,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2042,296.3668247,2.644502138,236.1657653,1547.115121,2155.509408,15.09357291,3.215787761,2038.33187,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2043,296.5141336,2.660165269,233.9154158,1399.702052,2212.567618,15.07952107,3.261768814,2905.85215,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2044,296.3706767,2.673041241,231.1475996,1574.657424,2237.411058,15.29133273,3.316200501,2036.635069,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2045,296.6533771,2.662222491,234.9776855,1523.230269,2250.120126,15.17313571,3.342159197,2797.877592,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2046,296.7465832,2.748824247,230.9783794,1737.415702,2164.43101,15.2287378,3.305490707,1913.093008,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2047,296.731762,2.714638136,234.2331677,1481.178133,2231.401744,15.18159856,3.435823776,2837.848554,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2048,297.0479352,2.649503492,235.5092323,1564.884424,2248.391514,14.99491708,3.264396627,1944.670988,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2049,297.0505519,2.666319365,234.6396612,1431.333079,2228.933688,15.03047415,3.163642366,2797.721494,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2050,297.0611848,2.704701998,233.6510973,1677.867602,2245.977806,15.04785806,3.275435127,1982.747776,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2051,297.0338427,2.700408437,234.9449849,1653.09878,2224.52834,15.1167429,3.357257243,2788.863837,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2052,296.9558148,2.685426435,238.0378877,1398.150157,2288.116053,14.95735269,3.252978018,1835.631942,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2053,297.0271285,2.688513136,235.1098353,1506.955969,2244.519149,14.89070511,3.277948243,2780.455171,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2054,296.8565151,2.677360508,230.463025,1742.679548,2231.712238,15.19326354,3.3354763,2026.361065,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2055,297.0936795,2.745264268,233.4775837,1608.300717,2283.489638,15.25392178,3.374285711,2622.048791,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2056,297.531992,2.702535124,238.7025499,1408.302065,2310.406159,14.84140594,3.286020441,2066.385462,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2057,297.4282441,2.637382096,239.0067268,1438.647989,2318.111005,14.95989648,3.252053438,2785.882966,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2058,297.250847,2.697215012,234.5677972,1511.229329,2243.608212,14.89249814,3.264586363,2084.023566,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2059,297.6215124,2.725169956,235.2767916,1415.777871,2346.54875,14.89774951,3.357245596,2773.480419,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2060,297.1624108,2.63465554,233.9862801,1662.459917,2274.311296,14.9971043,3.23327429,2116.042354,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2061,297.2591238,2.673441215,236.8755286,1545.624224,2343.067464,15.18935014,3.289650581,2695.90973,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2062,297.7005085,2.778148061,237.8522753,1531.182123,2329.656758,14.81918992,3.296091318,1919.1402,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2063,298.0125995,2.858061985,240.6525572,1393.67469,2347.597533,14.39304576,3.306084174,2847.40386,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2064,297.326742,2.683705226,233.3113571,1630.425334,2357.453952,15.25887113,3.339437564,2015.729226,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2065,297.6418599,2.678089964,237.6563745,1598.97346,2356.407779,15.15180642,3.265333785,2638.808983,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2066,297.7047738,2.689788866,236.6899903,1501.577669,2357.458926,15.16745739,3.345142109,2307.977645,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2067,297.9505893,2.691570399,233.6628996,1715.001839,2364.156954,15.17860194,3.24708113,2818.921682,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2068,297.8598082,2.678560324,238.3614959,1445.040064,2425.46872,14.97034841,3.280302443,2272.733673,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2069,297.8205163,2.757533481,234.8644873,1583.227738,2322.359401,15.23206304,3.369592373,2760.939341,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2070,298.201344,2.753346733,240.2731494,1351.660847,2486.774831,14.68373543,3.2488588,2175.527666,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2071,297.9455005,2.694305688,233.3762788,1805.612435,2345.057269,15.06485581,3.178547923,2723.022897,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2072,298.0222409,2.721502024,232.4286174,1828.981988,2372.310599,15.15347096,3.423000283,2167.637603,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2073,298.1572859,2.775570452,240.1183838,1686.948983,2427.630081,15.030012,3.398846867,2877.645161,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2074,298.1405883,2.789662213,239.8804346,1447.324264,2362.040194,14.87564702,3.332003497,2066.712219,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2075,298.5291365,2.793192899,239.10252,1525.035044,2428.285178,14.64329769,3.177143126,2880.91739,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2076,298.2380196,2.769677172,239.939754,1537.262529,2378.93665,15.22674284,3.327394282,2038.384611,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_115,2077,298.4259747,2.736551314,236.3586129,1596.487584,2472.74701,15.03838538,3.289122061,2868.832936,584.8956088,0.729701283,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
