no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_0,2015,297.586141,4.926625213,259.3437893,40.42275166,2641.670813,5.384526539,0.022908445,280.1947603,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2016,298.1705826,4.934472994,260.7163256,25.58838627,2679.128118,5.375629402,0.024160108,342.470196,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2017,297.4738439,4.932370949,261.17633,36.12857747,2658.724071,5.374741749,0.0248536,306.8930892,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2018,297.6894097,4.866103146,259.9618579,38.32611015,2623.529411,5.380643754,0.028172028,344.2876815,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2019,297.940027,4.860973379,259.9465091,41.75522497,2652.282395,5.396069931,0.031658941,545.3003712,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2020,298.0181041,4.879927799,258.5757453,38.59701077,2670.698779,5.390446175,0.03354624,522.9545717,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2021,298.1756379,4.904680905,260.4425236,35.63731998,2671.376775,5.384459778,0.034339213,533.9607623,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2022,297.8885111,4.974875449,262.4702499,25.00403963,2658.715781,5.378163276,0.03713976,594.2173849,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2023,297.9823798,4.851545689,260.3065694,25.51673915,2641.760414,5.363399076,0.037802982,756.7507544,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2024,298.0221779,4.898634333,260.6365975,30.29039483,2660.082339,5.364732008,0.038924075,782.8118949,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2025,297.7439409,4.896458783,260.7706162,29.18786433,2640.153063,5.362657436,0.043967618,813.498604,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
