no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_100,2015,299.6682203,4.105516693,238.7007427,1331.375412,2535.304264,17.18370584,2.04610643,3328.236841,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2016,299.7454818,4.097684455,237.7045239,1436.517978,2446.440397,17.36809802,1.991107139,2882.288765,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2017,299.6167562,4.122398968,238.1056017,1408.753043,2447.066178,17.43791483,2.234197824,6713.973292,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2018,299.9139673,4.269810049,242.6820581,1242.760505,2497.195,16.62082317,2.173605045,-1141.631329,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2019,299.9190031,4.313579185,241.7771466,1279.314423,2470.814769,17.21105706,1.956924352,1845.593466,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2020,299.8838747,4.147776984,237.8524718,1298.4572,2447.095719,17.01984313,2.151981835,8116.770596,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2021,299.9521754,4.192107637,234.1835474,1414.685582,2483.874845,16.99792262,1.99127485,-8831.482691,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2022,299.9394331,4.148346799,238.5251731,1292.138553,2556.593649,16.88750703,2.269160246,13598.81876,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2023,300.0455084,4.159672487,238.7638667,1286.753768,2520.405286,16.71731375,2.164617721,-4060.836731,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2024,300.0206519,4.225526535,236.6488609,1424.273007,2545.656187,16.77639165,1.970027685,2174.9447,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2025,300.0428613,4.096594939,237.0432309,1313.876337,2510.143374,17.38036864,2.190158354,7992.40419,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2026,300.0341556,4.212712822,239.3543417,1280.662517,2551.170202,16.94884874,2.173518587,-2789.966956,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2027,299.9552709,4.145796669,236.9448214,1386.827566,2606.259849,17.10638023,2.14072411,3916.95241,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2028,300.3377814,4.230501104,241.5372998,1172.791793,2621.908103,17.02240105,2.176118775,-1816.440183,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2029,300.3206302,4.272073746,239.3622294,1148.160092,2597.869879,16.64589574,2.146393455,7460.364127,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2030,300.397149,4.254215737,240.9793281,1183.75882,2640.40012,16.31285989,2.230096027,-3922.814546,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2031,300.2553489,4.17366323,239.133787,1285.868795,2540.777526,15.9933261,2.078609677,6540.49481,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2032,300.170178,4.311553769,241.3608862,1283.367438,2624.174089,16.28863872,1.876028897,3509.816105,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2033,300.2249946,4.283483586,237.2652081,1383.559707,2544.158257,16.97259593,2.048742974,3536.350036,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2034,300.6997353,4.166622578,239.3404656,1241.343958,2777.001395,16.53719537,1.852015248,7136.603486,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2035,300.4847145,4.227637689,237.650824,1350.842691,2596.273914,16.95358742,2.128917231,-419.5384317,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2036,300.1839444,4.053057598,233.8360027,1623.863492,2583.94165,17.47995069,2.286843291,11503.18315,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2037,300.3258631,4.205711718,237.4061671,1240.614929,2715.555424,17.26408314,2.107818537,290.9385795,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_100,2038,300.613384,4.232193818,235.9182346,1314.254397,2716.475949,17.03539822,2.08996895,-6644.637754,4.68983209,0.013890167,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
