no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_2277,2015,289.0397727,3.745907394,164.6200754,1363.819378,1530.031805,22.34088179,1.674021391,13672.05254,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2016,288.7474534,3.781354125,166.3221997,1270.934314,1496.197814,22.398794,1.633350106,13178.26475,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2017,288.4226744,3.79082055,165.3561402,1265.888792,1535.131916,22.32866492,1.6137933,14190.61048,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2018,288.8762134,3.839977779,167.5770337,1318.416463,1546.291287,22.38469343,1.647691094,13495.2793,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2019,288.5840173,3.774971173,165.7843688,1331.348036,1514.481413,22.56389072,1.66042577,13130.4001,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2020,289.1281527,3.735182991,170.0995861,1264.522388,1553.853003,22.45654322,1.655041706,13881.9853,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2021,289.3029913,3.748646663,168.3863742,1187.453957,1536.80108,22.27804084,1.679956013,15403.58554,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2022,289.3115262,3.733131897,167.3405925,1343.962574,1566.137798,22.45123834,1.670198437,13111.21808,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2023,289.4896434,3.803446945,169.5376571,1301.524176,1574.45262,22.35316364,1.64287663,13866.16086,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2024,289.3287446,3.789762374,171.7262734,1283.493084,1619.918379,22.23821204,1.704510137,16332.66151,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2025,289.403598,3.726625972,173.9122734,1253.835117,1604.66646,22.01159797,1.74746248,14512.36922,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2026,289.5820253,3.796735053,175.1260155,1323.425366,1637.524949,22.14755789,1.656579281,15433.04194,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2027,289.4040076,3.809859098,168.6500547,1338.000681,1566.107402,22.37409814,1.714251834,15977.08341,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2028,289.5052367,3.746686266,167.9376062,1471.093409,1620.798099,22.51383888,1.716842355,16218.4953,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2029,289.7774872,3.76129762,172.7043788,1261.998584,1625.577912,22.18993743,1.748344452,14751.12134,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2030,289.5635134,3.857524516,171.1256349,1323.65165,1659.281194,21.98823515,1.703454919,16190.5741,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2031,289.9503242,3.695624224,177.0034777,1168.314407,1663.860735,21.88009723,1.645177978,15941.65904,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2032,289.7201484,3.778031045,174.0338234,1245.270877,1637.186463,21.96363536,1.726468447,14811.75994,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2033,290.1700134,3.756984465,175.4461394,1300.701508,1684.727645,22.03024514,1.733809427,16846.79247,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
element_2277,2034,289.8819839,3.783717369,172.0252134,1402.192167,1633.504516,22.32449821,1.688532761,16635.28018,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7
