no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_1029,2015,287.411318,3.748505735,207.7200494,601.6311481,1476.508893,11.77081236,1.088747552,4106.916792,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6
element_1029,2016,287.5795557,3.735433283,207.3470159,577.5020451,1486.766597,11.63716375,1.108905338,3657.038367,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6
element_1029,2017,288.020237,3.695261064,210.6027583,567.7762851,1489.790823,11.47559618,1.097011663,3080.381807,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6
element_1029,2018,287.8901084,3.697794588,210.7326125,542.241428,1495.7714,11.44260561,1.081622419,3820.867259,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6
element_1029,2019,287.6176924,3.72337939,210.0817223,590.1589745,1493.682785,11.59591935,1.059481013,4746.260704,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6
element_1029,2020,287.792168,3.747923498,208.3455999,550.4130972,1493.168522,11.45222068,1.082831936,4135.015672,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6
element_1029,2021,287.7993967,3.615175231,211.1278709,502.8163759,1473.458544,11.45202607,1.050490509,3726.535177,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6
element_1029,2022,287.989602,3.723621487,210.0571131,563.6340289,1490.501365,11.43053856,1.064728392,4091.830387,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6
element_1029,2023,287.8211495,3.723568633,208.567548,588.106015,1492.967944,11.5334021,1.066082776,4207.1421,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6
element_1029,2024,287.8259887,3.694203858,211.6361883,537.6355273,1510.366286,11.59839709,1.099946066,3025.214987,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6
element_1029,2025,288.4182378,3.704606363,209.1538305,556.1491422,1550.309593,11.47256683,1.139913454,3807.337577,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6
