no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_1030,2015,289.1661704,4.252185065,200.4610311,679.9000048,1516.599932,13.64841499,1.524910432,-1612.209432,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2016,289.2288767,4.25359067,201.9432313,692.516984,1532.651157,13.7650379,1.544519338,5097.96849,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2017,289.0824069,4.362059032,201.2688512,732.1175788,1536.580942,13.65967493,1.548231889,422.4974701,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2018,289.2063916,4.299052856,206.6206809,634.0985289,1550.642869,13.91278614,1.545468926,3004.762864,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2019,289.3252568,4.278354722,206.3478237,593.4172253,1573.025435,13.63924028,1.473188619,1935.147405,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2020,289.2603335,4.263700437,202.4066417,654.2271237,1567.157949,13.73380945,1.530144249,-456.4032173,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2021,288.9826454,4.397757386,203.0127321,698.1508475,1517.419973,13.95079117,1.557839032,2668.787433,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2022,289.1462002,4.351447476,204.5176809,627.1086425,1557.835886,13.9178458,1.534070511,2380.930017,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2023,289.4710848,4.368706506,204.1306876,603.9130516,1567.915939,13.64815064,1.569347918,830.7210714,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2024,289.3022728,4.292722081,204.1167454,611.4349998,1590.704428,13.6639061,1.57701767,123.3957235,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2025,289.4203901,4.295648698,206.0220687,542.3957495,1535.157229,13.48987774,1.466630695,-279.864005,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2026,289.7666328,4.316753357,205.2126696,617.4157361,1586.826434,13.62668795,1.57156536,459.4207588,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2027,290.1011663,4.321389905,204.7912567,639.4568513,1610.019505,13.66993185,1.570848003,75.86460492,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2028,289.6967873,4.31486976,204.0257977,632.905617,1579.155958,13.63243702,1.565944082,323.8445455,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2029,289.5113787,4.353272362,201.0911243,729.7797492,1530.978558,13.78481783,1.577482965,2623.863741,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2030,289.772538,4.280090852,205.7803422,609.8620825,1570.727019,13.78594401,1.651799696,-1554.015853,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2031,289.6904335,4.309761583,207.0909489,598.8556453,1589.468154,13.59685639,1.644332122,3984.892632,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
element_1030,2032,289.9945991,4.238969258,208.5157399,584.5632874,1583.779251,13.3061798,1.596552053,4253.485024,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5
