no,date,R,PPT,PET,tas,AET,LON,LAT,AREA,ELE,SLP,RIVER,CLAY,SAND,SILT,CTI,SW,SPEED,LAI,SRAD,CO2,Cluster,n
AU_0000037,1999,937.0187833,2393.66,1374.540063,22.876069,1231.840015,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,377.0216736,4.64499979,2.93249165,218.1999969,222.1901367,11,2.274639846684271
AU_0000037,2002,1184.672604,2313.94,1382.340063,22.876069,1191.220068,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,361.1883362,4.79849968,2.924308301,218.5816711,214.457254,11,2.026763940874367
AU_0000037,2003,1087.965438,2140.82,1403.140063,22.876069,1171.820068,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,344.6166626,4.88533287,3.007733301,221.6750031,223.7038025,11,1.990465347711618
AU_0000037,2004,975.2239364,1943.0,1423.42002,22.876069,1167.260034,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,333.2299988,4.892833042,2.904724976,224.9316772,231.2292328,11,2.107294827529175
AU_0000037,2008,900.9029902,2260.16,1412.439966,22.876069,1184.959985,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,349.8549805,5.117333412,1.658016675,220.3933411,267.6694336,11,1.9303707498694087
AU_0000037,2009,881.1929053,2417.26,1416.180005,22.876069,1170.180005,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,346.558313,5.035666561,1.649491675,220.2583344,305.7938568,11,1.7414032184107706
AU_0000037,2010,932.8951954,2700.64,1382.919995,22.876069,1181.140015,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,355.8766602,5.033999825,1.65945835,214.5433319,344.0912781,11,1.7310763156899096
AU_0000037,2011,1065.693507,2574.58,1381.06001,22.876069,1173.52002,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,352.0683289,4.902499866,1.65720835,214.5950043,376.3077942,11,1.7652837860639736
AU_0000037,2012,1056.934638,2581.74,1386.660034,22.876069,1155.02002,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,349.9200012,4.846833229,1.67645835,216.3066711,384.9665955,11,1.664027404191059
AU_0000037,2013,961.838676,2415.12,1400.42002,22.876069,1162.02002,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,344.3133423,4.794333172,1.697616675,218.4733337,405.284082,11,1.748083516836698
AU_0000037,2014,1004.019884,2313.34,1402.3,22.876069,1162.260034,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,347.0900146,4.879333305,1.71860835,218.5066681,413.8070923,11,1.8087554135840895
AU_0000037,2015,970.1954311,2119.28,1433.660034,22.876069,1152.200049,145.5981667,-17.13433333,17.96538599,945.8224487,4.12717,24.92305877,7.375,15.875,5.125,2.43861,332.0950134,4.855666637,1.716,223.2783356,506.4600342,11,1.8247906363095898
AU_0000083,2011,1165.229056,1573.095,1630.981641,24.08824754,1060.86167,146.7025667,-19.31789167,160.4782343,76.41063377,1.319126791,21.57920022,34.33333206,42.29166794,16.72727203,1.708569214,222.0551544,3.511722136,1.606125024,221.717215,170202.6781,2,1.6833876298168624
BR_0000025,1990,882.68,1686.25,1146.23,25.66407013,1030.654102,-72.7146,-9.4063,7774.357,309.1576904,0.253153049,37.87351053,28.24847794,36.92282486,34.80934906,3.247588402,117.4209442,0.775848567,5.707353223,169.1102631,51.46270676,2,2.773331950117685
BR_0000025,1991,838.27,1554.67,1144.04,25.66407013,1025.614392,-72.7146,-9.4063,7774.357,309.1576904,0.253153049,37.87351053,28.24847794,36.92282486,34.80934906,3.247588402,117.6403015,0.856912434,5.697667383,168.6167725,50.51456985,2,3.0385413190675585
BR_0000025,2012,860.18,1657.86,1080.38,25.66407013,962.0146729,-72.7146,-9.4063,7774.357,309.1576904,0.253153049,37.87351053,28.24847794,36.92282486,34.80934906,3.247588402,113.5770966,0.982304156,5.709705469,155.8877869,73.55019836,2,2.5207961200101447
BR_0000025,2013,826.58,1587.11,1087.97,25.66407013,967.4092773,-72.7146,-9.4063,7774.357,309.1576904,0.253153049,37.87351053,28.24847794,36.92282486,34.80934906,3.247588402,112.1191238,0.977448523,5.73293252,156.5006104,79.00591278,2,2.6584707247384194
BR_0000025,2014,864.88,1580.5,1082.47,25.66407013,954.4695679,-72.7146,-9.4063,7774.357,309.1576904,0.253153049,37.87351053,28.24847794,36.92282486,34.80934906,3.247588402,111.6744461,0.978236079,5.76693623,155.3279175,87.18659363,2,2.558019947177707
BR_0000025,2015,983.07,1515.98,1074.02,25.66407013,953.6426147,-72.7146,-9.4063,7774.357,309.1576904,0.253153049,37.87351053,28.24847794,36.92282486,34.80934906,3.247588402,113.4486969,0.884077787,5.72105498,153.596347,95.0489624,2,2.753092611873733
BR_0000025,2016,1057.6,1436.16,1086.9,25.66407013,953.9434814,-72.7146,-9.4063,7774.357,309.1576904,0.253153049,37.87351053,28.24847794,36.92282486,34.80934906,3.247588402,110.2965195,0.995687485,5.789305273,155.4159882,101.6190613,2,2.854852505118894
