Filename,660448838.4,eps_PPT,eps_PET,eps_n,dRPPT,dRPET,dRCC,dRn,dR,pPPT,pPET,pCC,pn,hisR,dis_n,v_4_LAI,v_4_PPT,v_4_AET,v_4_R,v_7_LAI,v_7_PPT,v_7_AET,v_7_R,v_10_LAI,v_10_PPT,v_10_AET,v_10_R,r_4_LAI,r_4_PPT,r_4_AET,r_4_R,r_7_LAI,r_7_PPT,r_7_AET,r_7_R,r_10_LAI,r_10_PPT,r_10_AET,r_10_R,tree_4,tree_7,tree_10,v_tree_4,v_tree_7,v_tree_10
element_0,45567,2.518461239,-1.518461239,-7.944654706,-7.99E-05,-0.004371624,-0.004451552,0.006824415,0.002372863,-3.368406771,-184.2341589,-187.6025657,287.6025657,0.018043834,-0.06517575,0.002419752,-0.270879017,-0.273762398,0.002883382,0.005293396,3.41422035,3.408705422,0.005514927,0.009048609,2.87665799,2.86640674,0.010251251,1.971202528,-0.904033784,-0.914207335,15.97987392,4.312158652,11.39464613,11.38309542,30.56405259,7.371267287,9.600581237,9.572132937,56.81304093,0.117611665,0.109704492,0.114960191,0.012607674,0.0047005,0.0099562
element_1,11678.5,2.328651488,-1.328651488,-7.355367545,0.008873231,-0.007330158,0.001543072,8.47E-05,0.001627769,545.1159481,-450.319213,94.79673514,5.203264856,0.035964074,-0.000415247,0.000588641,0.602527379,0.601935095,0.000592284,0.003360945,1.67829375,1.678989235,-0.000695487,0.005119015,6.477386537,6.458956857,0.018429679,0.562977921,2.528534093,2.529866746,1.646877641,3.2144191,7.043037565,7.056606378,-1.933837897,4.895842897,27.18265304,27.14628253,51.24469184,0.090385501,0.212683119,0.65866924,0.036364422,0.15866204,0.604648162
element_10,5340.3,2.127951346,-1.127951346,-3.858599745,7.381684199,-2.095319484,5.286364715,2.617626873,7.903991588,93.39185293,-26.50963707,66.88221586,33.11778414,4.449381642,-0.0943408,0.005939068,21.65399407,19.16429744,2.489696626,0.051574974,112.4829893,102.5293649,9.953624437,0.05733457,104.2532736,96.70285877,7.550414819,3.491491848,11.70424463,10.61378934,55.95601425,30.32017807,60.79841063,56.78397986,223.7080394,33.70616081,56.35015016,53.55707794,169.6958235,2.320933548,2.697975087,3.395708249,0.54262431,0.91966585,1.617399012
element_100,4421.4,2.48390643,-1.48390643,-2.28831353,-29.87470193,-52.68050013,-82.55520206,10.20421883,-72.35098323,41.29135582,72.81241771,114.1037735,-14.10377354,202.5315682,-0.05195846,0.456087781,-16.81380353,5.950304543,-22.76410821,0.585381112,-78.55787923,-17.95250103,-60.60537826,0.788844211,-133.6403461,-48.06866238,-85.5716837,22.61952659,-1.258708929,0.525058056,-11.23978272,29.03178772,-5.880971776,-1.584138295,-29.92391694,39.12247458,-10.00453565,-4.241604483,-42.25103496,40.86032208,38.88860487,38.36995006,3.29946503,1.327747821,0.809093014
element_1000,21530.2,3.117486041,-2.117486041,-9.767631272,0.003723175,-0.00140643,0.002316746,-0.001377094,0.000939652,396.2292211,-149.675606,246.5536151,-146.5536151,0.00323851,0.069651457,0.005679937,8.559746418,8.558663483,0.001082935,-0.005808571,15.87387663,15.86995636,0.003920271,0.010877238,12.74908274,12.74800477,0.001077963,6.807851268,23.44830973,23.4474233,33.43928638,-6.962028703,43.48441619,43.47753422,121.0517034,13.03722398,34.92445059,34.92459597,33.28578369,0.026842605,0.047289638,0.448617306,0.013739299,0.034186332,0.435514
element_1001,6781,2.732861954,-1.732861954,-7.81728805,0.058900729,-0.007036784,0.051863944,-0.001160734,0.05070321,116.1676518,-13.87838047,102.2892713,-2.289271305,0.006247315,0.009918287,0.006297392,13.97351872,13.9629768,0.010541923,0.015110606,25.00744943,24.98763155,0.019817884,0.023274042,51.54808215,51.47815307,0.069929076,6.587040595,49.70732548,49.68086592,168.7432415,15.80561911,88.95779605,88.90705691,317.2224018,24.34453192,183.3695112,183.1614603,1119.346015,0.433402061,1.486472249,3.252411353,0.351346078,1.404416266,3.17035537
element_1002,2041.8,2.977048054,-1.977048054,-6.242356439,-0.650814052,-0.335937859,-0.98675191,-0.029787216,-1.016539127,64.02252845,33.04721382,97.06974226,2.930257739,1.27175287,0.01131205,0.056587244,-2.238894527,-2.076103083,-0.162791452,0.077907073,-14.33796193,-13.82882697,-0.509134961,0.080291756,-53.04226656,-52.08123933,-0.961027231,20.34901886,-1.163467735,-1.08604875,-12.80055711,28.01572212,-7.450889665,-7.234120678,-40.0341114,28.87326421,-27.5640344,-27.24468034,-75.5671368,2.206045845,2.205529752,2.071883094,0.263520874,0.26300478,0.129358122
element_1003,3816.8,2.601195161,-1.601195161,-8.069027007,0.020418089,-0.004183534,0.016234555,0.000328036,0.016562591,123.2783524,-25.25893577,98.01941662,1.980583382,0.008440005,-0.003660717,0.006024973,6.070052412,6.061658436,0.008393976,0.006869401,14.64777266,14.63135565,0.016417011,0.008074876,16.92572842,16.90706886,0.018659555,6.636593938,26.4657123,26.43884335,99.45463659,7.566743861,63.86497359,63.81687851,194.5142296,8.894591699,73.7969672,73.74274712,221.0846425,0.03841141,0.041678274,0.108948869,0.038274021,0.041540885,0.108811481
element_1004,2131.8,2.888189761,-1.888189761,-8.950547889,-0.001672481,-0.003353418,-0.005025899,-0.001271163,-0.006297062,26.55970537,53.2536851,79.81339047,20.18660953,0.013144054,0.023498067,0.003275718,1.560870353,1.560257968,0.000612384,0.05344177,2.742812785,2.742990301,-0.000177516,0.057906981,1.63585596,1.63891942,-0.00306346,4.188716619,3.825609098,3.825340524,4.659022548,68.33689794,6.722486288,6.725087883,-1.350540468,74.04663915,4.009394779,4.018197632,-23.30680928,0.057840647,0.053266674,0.048736512,-0.008729859,-0.013303832,-0.017833994
element_1005,1951.1,2.455857496,-1.455857496,-3.461716736,19.65063423,-4.604221202,15.04641303,-0.09068405,14.95572898,131.3920188,-30.78566888,100.6063499,-0.606349914,14.76483587,0.001829207,0.014192108,44.06415931,41.5434837,2.520675622,0.131109452,170.2050434,155.870125,14.33491838,0.28991511,222.8317404,207.663578,15.16816247,3.361988255,9.876599135,9.630318265,17.07215471,31.05870155,38.14998427,36.13271634,97.08823389,68.67839621,49.94580197,48.1391104,102.7316701,1.102411499,1.128043502,1.161902989,-0.017212151,0.008419852,0.042279339
